,molid,carcinogenic_FM,carcinogenic_FR,carcinogenic_MM,carcinogenic_MR,smiles
0,TR000,1,-1,1,1,ClC(Cl)Cl
1,TR001,1,1,1,1,C12(Cl)C3(Cl)C(=O)C4(Cl)C1(Cl)C5(Cl)C(Cl)(Cl)C2(Cl)C3(Cl)C45Cl
2,TR002,1,-1,1,-1,C(Cl)=C(Cl)Cl
3,TR004,-1,-1,-1,-1,S=P(OC)(OC)SCC(=O)NC
4,TR006a,1,1,1,1,OC(=O)CN(CC(O)=O)CC(O)=O
5,TR006b,-1,0,-1,0,N(CC(=O)O[Na])(CC(=O)O[Na])CC(=O)O[Na]
6,TR007,-1,-1,-1,-1,c1cccc(c1)CCNC(=N)NC(N)=N
7,TR008,1,-1,1,-1,C1(Cl)=C(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl
8,TR009,1,0,1,-1,ClC12C(Cl)=C(Cl)C(Cl)(C3C=CC(Cl)C13)C2(Cl)Cl
9,TR010,-1,-1,-1,-1,P(=O)(OC)(OC)OC=C(Cl)Cl
10,TR011,-1,-1,-1,-1,C(CN(CC(=O)O)CC(=O)O[Na])N(CC(=O)O[Na])CC(=O)O[Na]
11,TR012,-1,-1,-1,-1,C12(Cl)C(Cl)=C(Cl)C(Cl)(C1(Cl)Cl)C3C2C4CC3C5OC45
12,TR013,1,0,1,0,C(Cl)(Cl)=C(Cl)Cl
13,TR014,-1,-1,-1,-1,C1(Cl)C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
14,TR015,1,-1,1,-1,S(N1C(=O)C2CC=CCC2C1=O)C(Cl)(Cl)Cl
15,TR016,-1,0,-1,0,CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC
16,TR017,-1,-1,-1,-1,C12(Cl)C(Cl)C3(Cl)C4C5C1C(C6OC56)C4C2(Cl)C3(Cl)Cl
17,TR019,1,1,1,1,C(=O)(NC(C)C)c1ccc(CNNC)cc1
18,TR020,-1,-1,-1,1,S(=O)(=O)(c1ccc(N)cc1)c2ccc(N)cc2
19,TR021a,-1,0,1,0,C12(Cl)C(Cl)=C(Cl)C(Cl)(C1(Cl)Cl)C3C2C4C=CC3C4
20,TR021b,-1,-1,0,-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
21,TR023,-1,0,-1,-1,C(=O)(O)c1nc(Cl)c(Cl)c(N)c1Cl
22,TR024,-1,-1,-1,-1,C(CC(=O)OCC)(SP(=S)(OC)OC)C(=O)OCC
23,TR025,1,-1,0,-1,c1c(Cl)cc(N)c(Cl)c1C(=O)O
24,TR026,1,1,1,0,c1cc(Cl)cc(Cl)c1Oc2ccc(cc2)[N+](=O)[O-]
25,TR027,1,-1,1,0,C(Cl)(Cl)C(Cl)Cl
26,TR028,1,1,1,1,C(Br)(CBr)CCl
27,TR029,1,1,1,1,[O-][N+](=O)c1c(C)ccc2C(=O)c3ccccc3C(=O)c12
28,TR030,-1,-1,-1,-1,Clc1cc(ccc1N=NC(C(C)=O)C(=O)Nc2ccccc2)c3ccc(N=NC(C(C)=O)C(=O)Nc4ccccc4)c(Cl)c3
29,TR031,-1,-1,-1,-1,O=C(NCCCC)NS(=O)(=O)c1ccc(C)cc1
30,TR032,1,1,-1,-1,C(CCl)N1CCCOP1(=O)NCCCl
31,TR033,1,1,1,-1,O=P(OC)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl
