"LOCAL_AIRPORT","AIRLINE_CODE","FLIGHT_NUMBER","FREQUENCY","ARRIVAL_DEPARTURE_FLAG","SOURCE_DESTINATION","SCHED_TIME","TIME_ZONE","EFF_DT_FROM","EFF_DT_TILL"
"AGR","AI","406","136","1","VNS","1320","IST","2017-06-01T00:00:00","2017-10-28T00:00:00"
"AGR","AI","0406","136","1","VNS","1320","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AGR","AI","406","136","2","HJR","1355","IST","2017-06-01T00:00:00","2017-10-28T00:00:00"
"AGR","AI","0406","136","2","HJR","1355","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AGX","9I","505","1234567","1","COK","1125","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AGX","9I","506","1234567","2","COK","1155","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AJL","AI","0715","7","1","CCU","1120","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AJL","9W","9807","67","1","CCU","1120","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AJL","9W","2769","1234567","1","CCU","1130","IST","2017-03-26T00:00:00","2017-08-31T00:00:00"
"AJL","9W","615","1234567","1","CCU","1130","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AJL","9W","9807","67","1","CCU","1140","IST","2017-10-29T00:00:00","2017-11-04T00:00:00"
"AJL","9W","9807","67","1","CCU","1140","IST","2017-11-12T00:00:00","2017-11-18T00:00:00"
"AJL","9W","9807","67","1","CCU","1140","IST","2017-11-26T00:00:00","2017-12-02T00:00:00"
"AJL","9W","9807","67","1","CCU","1140","IST","2017-12-10T00:00:00","2017-12-16T00:00:00"
"AJL","9W","9807","67","1","CCU","1140","IST","2017-12-24T00:00:00","2017-12-30T00:00:00"
"AJL","9W","9807","67","1","CCU","1140","IST","2018-01-07T00:00:00","2018-01-13T00:00:00"
"AJL","9W","9807","67","1","CCU","1140","IST","2018-01-21T00:00:00","2018-01-27T00:00:00"
"AJL","9W","9807","67","1","CCU","1140","IST","2018-02-04T00:00:00","2018-02-10T00:00:00"
